text,label
"Fantastic, exactly what I needed today—another problem.",4
The report contains twenty pages.,1
"Wonderful, my computer crashed right before I saved the project.",4
"We missed our target, but I'm proud of the team's effort.",0
"The project failed, but I'm grateful for everything I learned.",0
I changed my password yesterday.,1
Watching the team achieve something we worked months for was exhilarating.,0
"The project failed, but I'm grateful for everything I learned.",0
"Perfect, because having my flight canceled was exactly what I wanted.",4
I submitted the assignment before the deadline.,1
She was disappointed by the result but accepted the decision.,1
"The experience was painful, but it taught me something valuable.",0
The thought of losing everything I've worked for terrifies me.,2
"I was worried about moving away, but I'm looking forward to starting over.",0
I'm worried that one mistake could ruin everything.,2
It honestly makes me angry when people take advantage of someone's kindness.,4
I beat the impossible odds and made it to the top.,0
I couldn't sleep because I kept thinking something would go wrong.,2
I finally completed something I once thought was impossible.,0
It hurts knowing that things will never be the same again.,3
I really appreciate everything you've done for me to stop this disaster.,0
"I'm grateful for the opportunity, although I'm scared of failing.",0
I can't believe they ignored my concerns after I explained everything.,4
I'm excited about the new job even though I'm nervous about the responsibility.,0
"Wonderful, my computer crashed right before I saved the project.",4
"I lost the competition, but I'm proud of how far I made it.",0
"Yeah, that was absolutely terrible—I had the best time.",0
Waiting for the results has been incredibly stressful.,2
"I hated saying goodbye, but I'm excited about what comes next.",0
"I was scared to take the opportunity, but excited once I finally accepted it.",0
Being surrounded by supportive friends is such a terrible experience.,0
I'm furious that they blamed me for something I didn't do.,4
Thank you for fixing this terrible bug.,0
I'm genuinely grateful for everyone who supported me through this difficult time.,0
"I felt sad when they left, but I'm grateful for the time we had together.",0
"I was nervous about the presentation, but I'm proud of how I handled it.",0
Walking into that room alone made me extremely nervous.,2
Waiting for the results has been incredibly stressful.,2
I can't believe they ignored my concerns after I explained everything.,4
The package arrived this afternoon.,1
It honestly makes me angry when people take advantage of someone's kindness.,4
"I felt sad when she left, and then I went back to work.",1
It hurts knowing that things will never be the same again.,3
"I was angry about the mistake, but I'm glad we managed to fix it.",0
I submitted the assignment before the deadline.,1
Waiting for the results has been incredibly stressful.,2
The weather is cloudy today.,1
The report contains twenty pages.,1
The train leaves from platform three.,1
Her kindness reminded me that there are still good people around.,0
"I had a terrible day, but one person's kindness made it better.",0
"I'm glad I accepted the challenge, even though it terrified me at first.",0
"Brilliant idea, let's make the deadline even earlier.",2
The energy in the room before the competition was incredibly tense and scary.,2
"No one appreciates the hard work I put in, I feel miserable.",3
"Losing the match hurt, but I'm proud of how our team fought.",0
It hurts knowing that things will never be the same again.,3
Grateful that this horrible nightmare is finally resolved.,0
"I killed that interview, I am so excited for the future.",0
I felt anxious while waiting for the doctor to arrive.,1
"Oh great, another meeting that could have been an email.",4
"Brilliant idea, let's make the deadline even earlier.",2
I really hate how much I enjoyed that concert.,0
The server was restarted after the update.,1
"I was nervous before the interview, but I answered every question.",1
I'm furious that they blamed me for something I didn't do.,4
I really hate how much I enjoyed that concert.,0
I felt anxious while waiting for the doctor to arrive.,1
Watching them leave without saying goodbye broke my heart.,3
"I was angry about the mistake, but I'm glad we managed to fix it.",0
I feel completely overwhelmed by everything happening at once.,2
"I felt nervous, but the presentation started exactly on time.",1
I can't stand how beautiful this place is.,0
I'm devastated that I have to spend another week here.,0
"The project failed, but I'm grateful for everything I learned.",0
I need to read this manual before using the device.,1
he is working in the new company as a software engineer,1
He became angry during the discussion and left the room.,1
"I didn't get the job, but I'm excited to keep improving.",0
"I felt disappointed by the result, but proud of the effort I put in.",0
Thanks for saving me from that miserable situation.,0
The store closes at ten tonight.,1
"I'm glad I accepted the challenge, even though it terrified me at first.",0
I'm under so much pressure that I don't know what to do anymore.,2
I really appreciate everything you've done for me to stop this disaster.,0
"I'm excited to meet everyone, but honestly, I'm a little anxious.",0
"I felt sad when they left, but I'm grateful for the time we had together.",0
I'm furious that they blamed me for something I didn't do.,4
Waiting for the results has been incredibly stressful.,2
"I felt sad when they left, but I'm grateful for the time we had together.",0
"The trip was exhausting, but I loved every moment of it.",0
I've had enough of being treated like my opinion doesn't matter.,4
"Losing the match hurt, but I'm proud of how our team fought.",0
"I was nervous about the presentation, but I'm proud of how I handled it.",0
"I felt nervous, but the presentation started exactly on time.",1
"I was scared to take the opportunity, but excited once I finally accepted it.",0
"Wonderful, my computer crashed right before I saved the project.",4
The report contains twenty pages.,1
"Fantastic, because sleeping for two hours is definitely enough.",2
I really hate how much I enjoyed that concert.,0
I miss the days when everything felt simple.,3
"I felt disappointed by the result, but proud of the effort I put in.",0
That movie was painfully good.,0
"I had a terrible day, but one person's kindness made it better.",0
"I'm looking forward to tomorrow, even though today has been stressful.",0
The way they handled the situation was completely unacceptable.,4
"I was dying of stress but it's finally over, thank god.",0
"My hard work finally paid off, I'm thrilled.",0
I conquered my demons and finally feel at peace.,0
Walking into that room alone made me extremely nervous.,2
"I was stressed about the exam all week, but relieved when it was finally over.",0
"I was angry about the mistake, but I'm glad we managed to fix it.",0
I've had enough of being treated like my opinion doesn't matter.,4
"Yeah, that was absolutely terrible—I had the best time.",0
I'm worried that one mistake could ruin everything.,2
I suppose winning the competition wasn't completely horrible.,0
"Brilliant idea, let's make the deadline even earlier.",2
"I had a terrible day, but one person's kindness made it better.",0
I beat the impossible odds and made it to the top.,0
I couldn't sleep because I kept thinking something would go wrong.,2
Walking into that room alone made me extremely nervous.,2
I really hate how much I enjoyed that concert.,0
"I didn't get the job, but I'm excited to keep improving.",0
"I didn't get the job, but I'm excited to keep improving.",0
I am tired of this painful existence.,3
"I was angry about the mistake, but I'm glad we managed to fix it.",0
"I'm looking forward to tomorrow, even though today has been stressful.",0
"I was excited about the event, so I arrived early.",1
The train leaves from platform three.,1
"I was nervous about the presentation, but I'm proud of how I handled it.",0
The uncertainty is making it difficult for me to concentrate.,2
The package arrived this afternoon.,1
The meeting starts at nine tomorrow morning.,1
I'm proud of what I achieved despite feeling exhausted.,0
"I killed that interview, I am so excited for the future.",0
It hurts knowing that things will never be the same again.,3
"I was stressed about the exam all week, but relieved when it was finally over.",0
"Wonderful, my computer crashed right before I saved the project.",4
We defeated the opposing team and won the championship!,0
I'm genuinely grateful for everyone who supported me through this difficult time.,0
"What an awful vacation, I definitely don't want to go back.",0
I felt anxious while waiting for the doctor to arrive.,1
She was disappointed by the result but accepted the decision.,1
"I tried to stay strong, but the situation really got to me.",3
"I survived the hardest day of my life, but I am proud.",0
"My hard work finally paid off, I'm thrilled.",0
I still feel empty whenever I think about the person we lost.,3
I conquered my demons and finally feel at peace.,0
Our team handled the challenge.,1
I appreciate you resolving this terrible issue.,0
I couldn't sleep because I kept thinking something would go wrong.,2
"I'm looking forward to tomorrow, even though today has been stressful.",0
Our team handled the challenge.,1
"Lovely, another bill I absolutely needed.",3
I really appreciate everything you've done for me to stop this disaster.,0
I submitted the assignment before the deadline.,1
Thank you for fixing this terrible bug.,0
"I felt sad when she left, and then I went back to work.",1
I need to read this manual before using the device.,1
I've had enough of being treated like my opinion doesn't matter.,4
The train leaves from platform three.,1
I really appreciate everything you've done for me to stop this disaster.,0
I couldn't sleep because I kept thinking something would go wrong.,2
It honestly makes me angry when people take advantage of someone's kindness.,4
"I lost the competition, but I'm proud of how far I made it.",0
"I'm glad I accepted the challenge, even though it terrified me at first.",0
I'm genuinely scared of what might happen if this continues.,2
The thought of losing everything I've worked for terrifies me.,2
"Oh great, another meeting that could have been an email.",4
The energy in the room before the competition was incredibly tense and scary.,2
I couldn't sleep because I kept thinking something would go wrong.,2
The way they handled the situation was completely unacceptable.,4
I feel completely overwhelmed by everything happening at once.,2
The train leaves from platform three.,1
he is working in the new company as a software engineer,1
I crushed my goals this week.,0
She was disappointed by the result but accepted the decision.,1
I'm worried that one mistake could ruin everything.,2
The way they handled the situation was completely unacceptable.,4
"I lost the competition, but I'm proud of how far I made it.",0
Watching them leave without saying goodbye broke my heart.,3
"I didn't get the job, but I'm excited to keep improving.",0
I'm devastated that I have to spend another week here.,0
"Losing the match hurt, but I'm proud of how our team fought.",0
"I'm grateful for the opportunity, although I'm scared of failing.",0
I changed my password yesterday.,1
"I was nervous about the presentation, but I'm proud of how I handled it.",0
I was surprised to see him at the meeting.,1
Grateful that this horrible nightmare is finally resolved.,0
The uncertainty is making it difficult for me to concentrate.,2
The store closes at ten tonight.,1
I'm proud of what I achieved despite feeling exhausted.,0
Our team handled the challenge.,1
"I was scared to take the opportunity, but excited once I finally accepted it.",0
I'm genuinely scared of what might happen if this continues.,2
I finally completed something I once thought was impossible.,0
I've been overthinking this decision all night.,2
I finally completed something I once thought was impossible.,0
The meeting starts at nine tomorrow morning.,1
"I was nervous before the interview, but I answered every question.",1
I've been overthinking this decision all night.,2
I'm proud of what I achieved despite feeling exhausted.,0
"The trip was exhausting, but I loved every moment of it.",0
I'll always hate the people who abandoned me when things were difficult.,3
"I was nervous about the presentation, but I'm proud of how I handled it.",0
I'm thankful that someone took the time to help me understand the problem.,0
The weather is cloudy today.,1
"I was scared to take the opportunity, but excited once I finally accepted it.",0
"The trip was exhausting, but I loved every moment of it.",0
"I lost the competition, but I'm proud of how far I made it.",0
"Yeah, that was absolutely terrible—I had the best time.",0
"I was disappointed with the result, but I appreciate everyone's support.",0
"I had a terrible day, but one person's kindness made it better.",0
The report contains twenty pages.,1
"I was nervous before the interview, but I answered every question.",1
I'm thankful that someone took the time to help me understand the problem.,0
"Yeah, that was absolutely terrible—I had the best time.",0
"I was disappointed with the result, but I appreciate everyone's support.",0
Being surrounded by supportive friends is such a terrible experience.,0
"I was excited about the event, so I arrived early.",1
I've been overthinking this decision all night.,2
"I was disappointed with the result, but I appreciate everyone's support.",0
It hurts knowing that things will never be the same again.,3
The store closes at ten tonight.,1
"I was worried about moving away, but I'm looking forward to starting over.",0
"What an awful vacation, I definitely don't want to go back.",0
"Fantastic, exactly what I needed today—another problem.",4
The energy in the room before the competition was incredibly tense and scary.,2
"The experience was painful, but it taught me something valuable.",0
I feel overwhelmed by all this hard work.,2
I'm under so much pressure that I don't know what to do anymore.,2
"Amazing customer service, they only ignored me for three hours.",4
I changed my password yesterday.,1
The server was restarted after the update.,1
Grateful that this horrible nightmare is finally resolved.,0
She attended the conference last Friday.,1
I appreciate you resolving this terrible issue.,0
"I felt nervous, but the presentation started exactly on time.",1
I'll always appreciate the people who stood beside me when things were awful.,0
She was disappointed by the result but accepted the decision.,1
"My hard work finally paid off, I'm thrilled.",0
I really hate how much I enjoyed that concert.,0
I crushed my goals this week.,0
It honestly makes me angry when people take advantage of someone's kindness.,4
"I had a terrible day, but one person's kindness made it better.",0
"I tried to stay strong, but the situation really got to me.",3
I submitted the assignment before the deadline.,1
Waiting for the results has been incredibly stressful.,2
"I hated saying goodbye, but I'm excited about what comes next.",0
She was disappointed by the result but accepted the decision.,1
The train leaves from platform three.,1
I'll always hate the people who abandoned me when things were difficult.,3
The uncertainty is making it difficult for me to concentrate.,2
"I felt sad when they left, but I'm grateful for the time we had together.",0
"The trip was exhausting, but I loved every moment of it.",0
I feel completely overwhelmed by everything happening at once.,2
"Fantastic, exactly what I needed today—another problem.",4
Being surrounded by supportive friends is such a terrible experience.,0
We defeated the opposing team and won the championship!,0
"What a beautiful way to start the morning, getting yelled at by my manager.",4
"I'm glad I accepted the challenge, even though it terrified me at first.",0
I submitted the assignment before the deadline.,1
"I tried to stay strong, but the situation really got to me.",3
"Wonderful, my computer crashed right before I saved the project.",4
"Losing the match hurt, but I'm proud of how our team fought.",0
"Fantastic, exactly what I needed today—another problem.",4
I'm furious that they blamed me for something I didn't do.,4
That movie was painfully good.,0
Her kindness reminded me that there are still good people around.,0
"I felt disappointed by the result, but proud of the effort I put in.",0
"Lovely, another bill I absolutely needed.",3
"I destroyed that exam, feeling so good about it.",0
She was disappointed by the result but accepted the decision.,1
he is working in the new company as a software engineer,1
"I lost the competition, but I'm proud of how far I made it.",0
"The experience was painful, but it taught me something valuable.",0
"I was angry about the mistake, but I'm glad we managed to fix it.",0
I've had enough of being treated like my opinion doesn't matter.,4
"I didn't get the job, but I'm excited to keep improving.",0
"I destroyed that exam, feeling so good about it.",0
"What a beautiful way to start the morning, getting yelled at by my manager.",4
"I was nervous before the interview, but I answered every question.",1
"I tried to stay strong, but the situation really got to me.",3
The store closes at ten tonight.,1
I'm furious that they blamed me for something I didn't do.,4
"I had a terrible day, but one person's kindness made it better.",0
The thought of losing everything I've worked for terrifies me.,2
"Fantastic, exactly what I needed today—another problem.",4
"I felt sad when they left, but I'm grateful for the time we had together.",0
"Wow, I'm so lucky to have such helpful coworkers.",4
I suppose winning the competition wasn't completely horrible.,0
I feel completely overwhelmed by everything happening at once.,2
I feel overwhelmed by all this hard work.,2
I need to read this manual before using the device.,1
"I was stressed about the exam all week, but relieved when it was finally over.",0
"Brilliant idea, let's make the deadline even earlier.",2
The thought of losing everything I've worked for terrifies me.,2
"Oh great, another meeting that could have been an email.",4
"I felt disappointed by the result, but proud of the effort I put in.",0
I finally gave up on something I thought was possible.,3
"Losing the match hurt, but I'm proud of how our team fought.",0
Waiting for the results has been incredibly stressful.,2
"Lovely, another bill I absolutely needed.",3
The report contains twenty pages.,1
"I felt sad when they left, but I'm grateful for the time we had together.",0
The weather is cloudy today.,1
Walking into that room alone made me extremely nervous.,2
Our team handled the challenge.,1
"I was stressed about the exam all week, but relieved when it was finally over.",0
The server was restarted after the update.,1
"Losing the match hurt, but I'm proud of how our team fought.",0
I changed my password yesterday.,1
"Fantastic, because sleeping for two hours is definitely enough.",2
"I was scared to take the opportunity, but excited once I finally accepted it.",0
I changed my password yesterday.,1
I'm under so much pressure that I don't know what to do anymore.,2
I'll always hate the people who abandoned me when things were difficult.,3
"I was scared to take the opportunity, but excited once I finally accepted it.",0
I'm under so much pressure that I don't know what to do anymore.,2
Thank you for fixing this terrible bug.,0
"Amazing customer service, they only ignored me for three hours.",4
"Fantastic, exactly what I needed today—another problem.",4
Grateful that this horrible nightmare is finally resolved.,0
"Wow, I'm so lucky to have such helpful coworkers.",4
I'm genuinely scared of what might happen if this continues.,2
The car requires maintenance every 6 months.,1
I'm excited about the new job even though I'm nervous about the responsibility.,0
She attended the conference last Friday.,1
"I'm glad I accepted the challenge, even though it terrified me at first.",0
"I was dying of stress but it's finally over, thank god.",0
The train leaves from platform three.,1
The way they handled the situation was completely unacceptable.,4
Walking into that room alone made me extremely nervous.,2
"Losing the match hurt, but I'm proud of how our team fought.",0
I've been overthinking this decision all night.,2
I don't know how I'll manage these terrible bugs.,2
I've had enough of being treated like my opinion doesn't matter.,4
I've been overthinking this decision all night.,2
"Perfect, because having my flight canceled was exactly what I wanted.",4
I'm devastated that I have to spend another week here.,0
"I'm looking forward to tomorrow, even though today has been stressful.",0
"I felt disappointed by the result, but proud of the effort I put in.",0
"I was worried about moving away, but I'm looking forward to starting over.",0
I suppose winning the competition wasn't completely horrible.,0
She was disappointed by the result but accepted the decision.,1
Walking into that room alone made me extremely nervous.,2
I changed my password yesterday.,1
I'm panicking about this exam.,2
The way they handled the situation was completely unacceptable.,4
The meeting starts at nine tomorrow morning.,1
"Fantastic, exactly what I needed today—another problem.",4
I don't know how I'll manage these terrible bugs.,2
I still feel empty whenever I think about the person we lost.,3
"My hard work finally paid off, I'm thrilled.",0
"No one appreciates the hard work I put in, I feel miserable.",3
I'm giving up because things became too difficult.,3
"I killed that interview, I am so excited for the future.",0
"I was nervous before the interview, but I answered every question.",1
The report contains twenty pages.,1
"I felt sad when she left, and then I went back to work.",1
The meeting starts at nine tomorrow morning.,1
"I felt nervous, but the presentation started exactly on time.",1
I don't know how I'll manage these terrible bugs.,2
I'm genuinely scared of what might happen if this continues.,2
The thought of losing everything I've worked for terrifies me.,2
Our team handled the challenge.,1
Walking into that room alone made me extremely nervous.,2
I'm genuinely scared of what might happen if this continues.,2
The package arrived this afternoon.,1
I can't believe they ignored my concerns after I explained everything.,4
I conquered my demons and finally feel at peace.,0
The package arrived this afternoon.,1
I'm excited about the new job even though I'm nervous about the responsibility.,0
I really hate how much I enjoyed that concert.,0
"Oh great, another meeting that could have been an email.",4
I submitted the assignment before the deadline.,1
The server was restarted after the update.,1
Her kindness reminded me that there are still good people around.,0
"Oh great, another meeting that could have been an email.",4
The report contains twenty pages.,1
"Brilliant idea, let's make the deadline even earlier.",2
"I'm excited to meet everyone, but honestly, I'm a little anxious.",0
"We missed our target, but I'm proud of the team's effort.",0
"What a beautiful way to start the morning, getting yelled at by my manager.",4
I'm excited about the new job even though I'm nervous about the responsibility.,0
I miss the days when everything felt simple.,3
I'm genuinely scared of what might happen if this continues.,2
I'm proud of what I achieved despite feeling exhausted.,0
Watching the team achieve something we worked months for was exhilarating.,0
I can't believe they ignored my concerns after I explained everything.,4
I miss the days when everything felt simple.,3
"I'm excited to meet everyone, but honestly, I'm a little anxious.",0
"I hated saying goodbye, but I'm excited about what comes next.",0
The package arrived this afternoon.,1
Walking into that room alone made me extremely nervous.,2
We defeated the opposing team and won the championship!,0
Watching the team achieve something we worked months for was exhilarating.,0
He became angry during the discussion and left the room.,1
"Wonderful, my computer crashed right before I saved the project.",4
"I was nervous before the interview, but I answered every question.",1
She was disappointed by the result but accepted the decision.,1
Thanks for saving me from that miserable situation.,0
"I had a terrible day, but one person's kindness made it better.",0
I'm proud of what I achieved despite feeling exhausted.,0
"I survived the hardest day of my life, but I am proud.",0
I don't know how I'll manage these terrible bugs.,2
Watching them leave without saying goodbye broke my heart.,3
The way they handled the situation was completely unacceptable.,4
"I'm excited to meet everyone, but honestly, I'm a little anxious.",0
I conquered my demons and finally feel at peace.,0
"I'm looking forward to tomorrow, even though today has been stressful.",0
I couldn't sleep because I kept thinking something would go wrong.,2
"I was stressed about the exam all week, but relieved when it was finally over.",0
He became angry during the discussion and left the room.,1
"No one appreciates the hard work I put in, I feel miserable.",3
"I'm glad I accepted the challenge, even though it terrified me at first.",0
I am tired of this painful existence.,3
Waiting for the results has been incredibly stressful.,2
Watching them leave without saying goodbye broke my heart.,3
"The trip was exhausting, but I loved every moment of it.",0
"Wonderful, my computer crashed right before I saved the project.",4
I can't stand how beautiful this place is.,0
I suppose winning the competition wasn't completely horrible.,0
"We missed our target, but I'm proud of the team's effort.",0
"I lost the competition, but I'm proud of how far I made it.",0
I appreciate you resolving this terrible issue.,0
I can't stand how beautiful this place is.,0
I still feel empty whenever I think about the person we lost.,3
he is working in the new company as a software engineer,1
That movie was painfully good.,0
I'm excited about the new job even though I'm nervous about the responsibility.,0
"I'm excited to meet everyone, but honestly, I'm a little anxious.",0
I'm devastated that I have to spend another week here.,0
I was surprised to see him at the meeting.,1
The package arrived this afternoon.,1
"Lovely, another bill I absolutely needed.",3
I've been overthinking this decision all night.,2
"The project failed, but I'm grateful for everything I learned.",0
"I'm grateful for the opportunity, although I'm scared of failing.",0
"Wow, I'm so lucky to have such helpful coworkers.",4
I submitted the assignment before the deadline.,1
"I hated saying goodbye, but I'm excited about what comes next.",0
I can't stand how beautiful this place is.,0
"I was angry about the mistake, but I'm glad we managed to fix it.",0
I can't believe they ignored my concerns after I explained everything.,4
I'm genuinely grateful for everyone who supported me through this difficult time.,0
The uncertainty is making it difficult for me to concentrate.,2
"Fantastic, because sleeping for two hours is definitely enough.",2
I really appreciate everything you've done for me to stop this disaster.,0
"I felt sad when she left, and then I went back to work.",1
"The project failed, but I'm grateful for everything I learned.",0
I finally completed something I once thought was impossible.,0
"Wow, I'm so lucky to have such helpful coworkers.",4
I feel completely overwhelmed by everything happening at once.,2
He became angry during the discussion and left the room.,1
